frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
20,"x: 257.1879, y: 154.1806, conf: 0.9975","x: 266.8259, y: 143.0975, conf: 0.9776","x: 245.1831, y: 142.5867, conf: 0.9953","x: 275.9659, y: 150.1773, conf: 0.5448","x: 222.1975, y: 148.9990, conf: 0.9539","x: 296.8164, y: 220.8222, conf: 0.9932","x: 192.4200, y: 217.1582, conf: 0.9977","x: 314.6232, y: 312.4326, conf: 0.9354","x: 175.3305, y: 303.2523, conf: 0.9826","x: 318.8675, y: 394.9311, conf: 0.8809","x: 157.9267, y: 380.6718, conf: 0.9531","x: 268.7755, y: 389.0258, conf: 0.9652","x: 201.1268, y: 386.4999, conf: 0.9794","x: 258.9612, y: 480.0000, conf: 0.2014","x: 190.5562, y: 480.0000, conf: 0.2784","x: 235.7525, y: 480.0000, conf: 0.0108","x: 197.0377, y: 480.0000, conf: 0.0129"
20,"x: 257.1879, y: 154.1806, conf: 0.9975","x: 266.8259, y: 143.0975, conf: 0.9776","x: 245.1831, y: 142.5867, conf: 0.9953","x: 275.9659, y: 150.1773, conf: 0.5448","x: 222.1975, y: 148.9990, conf: 0.9539","x: 296.8164, y: 220.8222, conf: 0.9932","x: 192.4200, y: 217.1582, conf: 0.9977","x: 314.6232, y: 312.4326, conf: 0.9354","x: 175.3305, y: 303.2523, conf: 0.9826","x: 318.8675, y: 394.9311, conf: 0.8809","x: 157.9267, y: 380.6718, conf: 0.9531","x: 268.7755, y: 389.0258, conf: 0.9652","x: 201.1268, y: 386.4999, conf: 0.9794","x: 258.9612, y: 480.0000, conf: 0.2014","x: 190.5562, y: 480.0000, conf: 0.2784","x: 235.7525, y: 480.0000, conf: 0.0108","x: 197.0377, y: 480.0000, conf: 0.0129"
22,"x: 256.4994, y: 154.0673, conf: 0.9975","x: 265.6304, y: 142.5833, conf: 0.9758","x: 244.5544, y: 142.4890, conf: 0.9953","x: 274.2828, y: 148.7770, conf: 0.5083","x: 221.4714, y: 148.3432, conf: 0.9575","x: 296.2285, y: 219.4941, conf: 0.9937","x: 191.2165, y: 217.1120, conf: 0.9977","x: 314.6253, y: 311.8083, conf: 0.9391","x: 175.6349, y: 304.8494, conf: 0.9821","x: 319.6747, y: 394.1777, conf: 0.8842","x: 158.6410, y: 381.9436, conf: 0.9522","x: 270.1404, y: 388.4453, conf: 0.9674","x: 201.9105, y: 386.8357, conf: 0.9798","x: 263.3731, y: 480.0000, conf: 0.2095","x: 193.1623, y: 480.0000, conf: 0.2811","x: 240.2818, y: 480.0000, conf: 0.0109","x: 200.0414, y: 480.0000, conf: 0.0127"
22,"x: 256.4994, y: 154.0673, conf: 0.9975","x: 265.6304, y: 142.5833, conf: 0.9758","x: 244.5544, y: 142.4890, conf: 0.9953","x: 274.2828, y: 148.7770, conf: 0.5083","x: 221.4714, y: 148.3432, conf: 0.9575","x: 296.2285, y: 219.4941, conf: 0.9937","x: 191.2165, y: 217.1120, conf: 0.9977","x: 314.6253, y: 311.8083, conf: 0.9391","x: 175.6349, y: 304.8494, conf: 0.9821","x: 319.6747, y: 394.1777, conf: 0.8842","x: 158.6410, y: 381.9436, conf: 0.9522","x: 270.1404, y: 388.4453, conf: 0.9674","x: 201.9105, y: 386.8357, conf: 0.9798","x: 263.3731, y: 480.0000, conf: 0.2095","x: 193.1623, y: 480.0000, conf: 0.2811","x: 240.2818, y: 480.0000, conf: 0.0109","x: 200.0414, y: 480.0000, conf: 0.0127"
24,"x: 256.0126, y: 154.0606, conf: 0.9973","x: 265.6199, y: 142.8826, conf: 0.9768","x: 244.5961, y: 142.2099, conf: 0.9947","x: 274.8721, y: 149.4998, conf: 0.5600","x: 222.6402, y: 147.7444, conf: 0.9513","x: 296.5794, y: 220.4636, conf: 0.9934","x: 191.9509, y: 217.0690, conf: 0.9977","x: 315.2020, y: 312.8886, conf: 0.9376","x: 175.5547, y: 304.8045, conf: 0.9819","x: 320.2927, y: 394.7807, conf: 0.8817","x: 158.8642, y: 379.3733, conf: 0.9512","x: 269.6713, y: 391.0882, conf: 0.9655","x: 201.6875, y: 388.8960, conf: 0.9790","x: 262.7079, y: 480.0000, conf: 0.1965","x: 193.0302, y: 480.0000, conf: 0.2681","x: 240.9117, y: 480.0000, conf: 0.0103","x: 201.0933, y: 480.0000, conf: 0.0122"
24,"x: 256.0126, y: 154.0606, conf: 0.9973","x: 265.6199, y: 142.8826, conf: 0.9768","x: 244.5961, y: 142.2099, conf: 0.9947","x: 274.8721, y: 149.4998, conf: 0.5600","x: 222.6402, y: 147.7444, conf: 0.9513","x: 296.5794, y: 220.4636, conf: 0.9934","x: 191.9509, y: 217.0690, conf: 0.9977","x: 315.2020, y: 312.8886, conf: 0.9376","x: 175.5547, y: 304.8045, conf: 0.9819","x: 320.2927, y: 394.7807, conf: 0.8817","x: 158.8642, y: 379.3733, conf: 0.9512","x: 269.6713, y: 391.0882, conf: 0.9655","x: 201.6875, y: 388.8960, conf: 0.9790","x: 262.7079, y: 480.0000, conf: 0.1965","x: 193.0302, y: 480.0000, conf: 0.2681","x: 240.9117, y: 480.0000, conf: 0.0103","x: 201.0933, y: 480.0000, conf: 0.0122"
26,"x: 256.8321, y: 153.6163, conf: 0.9973","x: 265.7454, y: 142.0504, conf: 0.9740","x: 244.7924, y: 142.0142, conf: 0.9951","x: 274.1062, y: 148.3624, conf: 0.5052","x: 221.6872, y: 148.0857, conf: 0.9593","x: 297.0243, y: 221.0088, conf: 0.9936","x: 191.3456, y: 217.3232, conf: 0.9978","x: 315.7970, y: 314.6139, conf: 0.9352","x: 175.2587, y: 304.3454, conf: 0.9820","x: 321.4281, y: 398.8050, conf: 0.8752","x: 158.3124, y: 382.9569, conf: 0.9507","x: 269.9253, y: 390.2796, conf: 0.9641","x: 201.6043, y: 388.0217, conf: 0.9783","x: 261.9716, y: 480.0000, conf: 0.1880","x: 193.0390, y: 480.0000, conf: 0.2598","x: 238.0416, y: 480.0000, conf: 0.0096","x: 200.9451, y: 480.0000, conf: 0.0113"
26,"x: 256.8321, y: 153.6163, conf: 0.9973","x: 265.7454, y: 142.0504, conf: 0.9740","x: 244.7924, y: 142.0142, conf: 0.9951","x: 274.1062, y: 148.3624, conf: 0.5052","x: 221.6872, y: 148.0857, conf: 0.9593","x: 297.0243, y: 221.0088, conf: 0.9936","x: 191.3456, y: 217.3232, conf: 0.9978","x: 315.7970, y: 314.6139, conf: 0.9352","x: 175.2587, y: 304.3454, conf: 0.9820","x: 321.4281, y: 398.8050, conf: 0.8752","x: 158.3124, y: 382.9569, conf: 0.9507","x: 269.9253, y: 390.2796, conf: 0.9641","x: 201.6043, y: 388.0217, conf: 0.9783","x: 261.9716, y: 480.0000, conf: 0.1880","x: 193.0390, y: 480.0000, conf: 0.2598","x: 238.0416, y: 480.0000, conf: 0.0096","x: 200.9451, y: 480.0000, conf: 0.0113"
28,"x: 256.7411, y: 153.5656, conf: 0.9974","x: 265.8134, y: 142.0733, conf: 0.9746","x: 244.7280, y: 141.8907, conf: 0.9952","x: 274.3144, y: 148.5674, conf: 0.5080","x: 221.5677, y: 147.9513, conf: 0.9591","x: 297.1025, y: 221.1450, conf: 0.9935","x: 191.1730, y: 217.2597, conf: 0.9978","x: 315.9511, y: 314.6305, conf: 0.9347","x: 175.3292, y: 304.2676, conf: 0.9821","x: 321.3247, y: 398.7408, conf: 0.8751","x: 158.3130, y: 382.9153, conf: 0.9510","x: 269.9875, y: 390.3958, conf: 0.9637","x: 201.4233, y: 388.0165, conf: 0.9782","x: 262.0981, y: 480.0000, conf: 0.1853","x: 192.6461, y: 480.0000, conf: 0.2573","x: 238.2880, y: 480.0000, conf: 0.0094","x: 200.5216, y: 480.0000, conf: 0.0112"
28,"x: 256.7411, y: 153.5656, conf: 0.9974","x: 265.8134, y: 142.0733, conf: 0.9746","x: 244.7280, y: 141.8907, conf: 0.9952","x: 274.3144, y: 148.5674, conf: 0.5080","x: 221.5677, y: 147.9513, conf: 0.9591","x: 297.1025, y: 221.1450, conf: 0.9935","x: 191.1730, y: 217.2597, conf: 0.9978","x: 315.9511, y: 314.6305, conf: 0.9347","x: 175.3292, y: 304.2676, conf: 0.9821","x: 321.3247, y: 398.7408, conf: 0.8751","x: 158.3130, y: 382.9153, conf: 0.9510","x: 269.9875, y: 390.3958, conf: 0.9637","x: 201.4233, y: 388.0165, conf: 0.9782","x: 262.0981, y: 480.0000, conf: 0.1853","x: 192.6461, y: 480.0000, conf: 0.2573","x: 238.2880, y: 480.0000, conf: 0.0094","x: 200.5216, y: 480.0000, conf: 0.0112"
30,"x: 257.3282, y: 152.3571, conf: 0.9974","x: 266.2295, y: 140.8676, conf: 0.9749","x: 244.9624, y: 140.9985, conf: 0.9951","x: 274.5870, y: 147.6591, conf: 0.4964","x: 221.3071, y: 147.7893, conf: 0.9569","x: 297.3493, y: 220.0020, conf: 0.9936","x: 191.0567, y: 217.0133, conf: 0.9973","x: 317.0794, y: 314.3258, conf: 0.9379","x: 175.9217, y: 305.8548, conf: 0.9783","x: 324.3214, y: 398.1492, conf: 0.8757","x: 160.2676, y: 385.6477, conf: 0.9423","x: 271.3326, y: 390.1820, conf: 0.9602","x: 202.4897, y: 388.4881, conf: 0.9735","x: 265.8036, y: 480.0000, conf: 0.1696","x: 195.4850, y: 480.0000, conf: 0.2208","x: 242.2368, y: 480.0000, conf: 0.0086","x: 202.8019, y: 480.0000, conf: 0.0096"
30,"x: 257.3282, y: 152.3571, conf: 0.9974","x: 266.2295, y: 140.8676, conf: 0.9749","x: 244.9624, y: 140.9985, conf: 0.9951","x: 274.5870, y: 147.6591, conf: 0.4964","x: 221.3071, y: 147.7893, conf: 0.9569","x: 297.3493, y: 220.0020, conf: 0.9936","x: 191.0567, y: 217.0133, conf: 0.9973","x: 317.0794, y: 314.3258, conf: 0.9379","x: 175.9217, y: 305.8548, conf: 0.9783","x: 324.3214, y: 398.1492, conf: 0.8757","x: 160.2676, y: 385.6477, conf: 0.9423","x: 271.3326, y: 390.1820, conf: 0.9602","x: 202.4897, y: 388.4881, conf: 0.9735","x: 265.8036, y: 480.0000, conf: 0.1696","x: 195.4850, y: 480.0000, conf: 0.2208","x: 242.2368, y: 480.0000, conf: 0.0086","x: 202.8019, y: 480.0000, conf: 0.0096"
