frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
20,"x: 223.9299, y: 60.4639, conf: 0.9729","x: 219.9673, y: 47.2903, conf: 0.3319","x: 206.0025, y: 45.2179, conf: 0.9823","x: 197.8584, y: 61.1366, conf: 0.0034","x: 155.9651, y: 60.9988, conf: 0.9886","x: 214.6841, y: 166.5944, conf: 0.9600","x: 110.4353, y: 186.4728, conf: 0.9875","x: 238.2166, y: 303.6700, conf: 0.8215","x: 123.9573, y: 362.8858, conf: 0.9626","x: 281.2807, y: 413.0245, conf: 0.6630","x: 220.9561, y: 457.3715, conf: 0.9044","x: 252.4877, y: 459.0907, conf: 0.5699","x: 176.2714, y: 478.1391, conf: 0.6901","x: 285.6054, y: 478.1293, conf: 0.0050","x: 169.7755, y: 480.0000, conf: 0.0072","x: 278.1204, y: 480.0000, conf: 0.0003","x: 162.6839, y: 480.0000, conf: 0.0003"
20,"x: 223.9299, y: 60.4639, conf: 0.9729","x: 219.9673, y: 47.2903, conf: 0.3319","x: 206.0025, y: 45.2179, conf: 0.9823","x: 197.8584, y: 61.1366, conf: 0.0034","x: 155.9651, y: 60.9988, conf: 0.9886","x: 214.6841, y: 166.5944, conf: 0.9600","x: 110.4353, y: 186.4728, conf: 0.9875","x: 238.2166, y: 303.6700, conf: 0.8215","x: 123.9573, y: 362.8858, conf: 0.9626","x: 281.2807, y: 413.0245, conf: 0.6630","x: 220.9561, y: 457.3715, conf: 0.9044","x: 252.4877, y: 459.0907, conf: 0.5699","x: 176.2714, y: 478.1391, conf: 0.6901","x: 285.6054, y: 478.1293, conf: 0.0050","x: 169.7755, y: 480.0000, conf: 0.0072","x: 278.1204, y: 480.0000, conf: 0.0003","x: 162.6839, y: 480.0000, conf: 0.0003"
22,"x: 222.8078, y: 59.8433, conf: 0.9933","x: 219.8913, y: 45.1111, conf: 0.7158","x: 201.1481, y: 45.0661, conf: 0.9952","x: 202.3242, y: 58.2835, conf: 0.0076","x: 148.7640, y: 63.5087, conf: 0.9915","x: 217.7503, y: 166.3531, conf: 0.9740","x: 108.3084, y: 189.2078, conf: 0.9900","x: 239.9596, y: 304.2379, conf: 0.8522","x: 125.1837, y: 363.1499, conf: 0.9601","x: 282.3660, y: 410.1337, conf: 0.7351","x: 226.1359, y: 447.3832, conf: 0.9173","x: 251.4137, y: 458.4980, conf: 0.5840","x: 172.2973, y: 478.9602, conf: 0.6755","x: 289.7552, y: 479.0396, conf: 0.0058","x: 173.4604, y: 480.0000, conf: 0.0077","x: 276.2127, y: 480.0000, conf: 0.0003","x: 161.7588, y: 480.0000, conf: 0.0003"
22,"x: 222.8078, y: 59.8433, conf: 0.9933","x: 219.8913, y: 45.1111, conf: 0.7158","x: 201.1481, y: 45.0661, conf: 0.9952","x: 202.3242, y: 58.2835, conf: 0.0076","x: 148.7640, y: 63.5087, conf: 0.9915","x: 217.7503, y: 166.3531, conf: 0.9740","x: 108.3084, y: 189.2078, conf: 0.9900","x: 239.9596, y: 304.2379, conf: 0.8522","x: 125.1837, y: 363.1499, conf: 0.9601","x: 282.3660, y: 410.1337, conf: 0.7351","x: 226.1359, y: 447.3832, conf: 0.9173","x: 251.4137, y: 458.4980, conf: 0.5840","x: 172.2973, y: 478.9602, conf: 0.6755","x: 289.7552, y: 479.0396, conf: 0.0058","x: 173.4604, y: 480.0000, conf: 0.0077","x: 276.2127, y: 480.0000, conf: 0.0003","x: 161.7588, y: 480.0000, conf: 0.0003"
24,"x: 222.6097, y: 60.7393, conf: 0.9925","x: 220.1980, y: 45.9712, conf: 0.7020","x: 200.7477, y: 46.2027, conf: 0.9946","x: 203.7292, y: 58.8885, conf: 0.0069","x: 148.4091, y: 64.4701, conf: 0.9899","x: 218.3164, y: 165.4199, conf: 0.9704","x: 108.7291, y: 186.8514, conf: 0.9882","x: 238.1692, y: 301.9271, conf: 0.8533","x: 125.9304, y: 357.8704, conf: 0.9588","x: 281.6446, y: 405.8857, conf: 0.7344","x: 221.2749, y: 449.1569, conf: 0.9134","x: 251.3995, y: 457.0355, conf: 0.6082","x: 171.7710, y: 476.8927, conf: 0.6948","x: 291.4048, y: 480.0000, conf: 0.0057","x: 172.3945, y: 480.0000, conf: 0.0074","x: 280.1740, y: 480.0000, conf: 0.0003","x: 161.7686, y: 480.0000, conf: 0.0003"
24,"x: 222.6097, y: 60.7393, conf: 0.9925","x: 220.1980, y: 45.9712, conf: 0.7020","x: 200.7477, y: 46.2027, conf: 0.9946","x: 203.7292, y: 58.8885, conf: 0.0069","x: 148.4091, y: 64.4701, conf: 0.9899","x: 218.3164, y: 165.4199, conf: 0.9704","x: 108.7291, y: 186.8514, conf: 0.9882","x: 238.1692, y: 301.9271, conf: 0.8533","x: 125.9304, y: 357.8704, conf: 0.9588","x: 281.6446, y: 405.8857, conf: 0.7344","x: 221.2749, y: 449.1569, conf: 0.9134","x: 251.3995, y: 457.0355, conf: 0.6082","x: 171.7710, y: 476.8927, conf: 0.6948","x: 291.4048, y: 480.0000, conf: 0.0057","x: 172.3945, y: 480.0000, conf: 0.0074","x: 280.1740, y: 480.0000, conf: 0.0003","x: 161.7686, y: 480.0000, conf: 0.0003"
26,"x: 222.6114, y: 60.7393, conf: 0.9925","x: 220.1986, y: 45.9718, conf: 0.7019","x: 200.7502, y: 46.2027, conf: 0.9946","x: 203.7265, y: 58.8895, conf: 0.0069","x: 148.4105, y: 64.4697, conf: 0.9899","x: 218.3153, y: 165.4213, conf: 0.9704","x: 108.7273, y: 186.8526, conf: 0.9882","x: 238.1690, y: 301.9276, conf: 0.8533","x: 125.9302, y: 357.8715, conf: 0.9588","x: 281.6443, y: 405.8856, conf: 0.7344","x: 221.2747, y: 449.1558, conf: 0.9134","x: 251.4014, y: 457.0381, conf: 0.6082","x: 171.7725, y: 476.8954, conf: 0.6948","x: 291.4025, y: 480.0000, conf: 0.0057","x: 172.3924, y: 480.0000, conf: 0.0074","x: 280.1728, y: 480.0000, conf: 0.0003","x: 161.7721, y: 480.0000, conf: 0.0003"
26,"x: 222.6114, y: 60.7393, conf: 0.9925","x: 220.1986, y: 45.9718, conf: 0.7019","x: 200.7502, y: 46.2027, conf: 0.9946","x: 203.7265, y: 58.8895, conf: 0.0069","x: 148.4105, y: 64.4697, conf: 0.9899","x: 218.3153, y: 165.4213, conf: 0.9704","x: 108.7273, y: 186.8526, conf: 0.9882","x: 238.1690, y: 301.9276, conf: 0.8533","x: 125.9302, y: 357.8715, conf: 0.9588","x: 281.6443, y: 405.8856, conf: 0.7344","x: 221.2747, y: 449.1558, conf: 0.9134","x: 251.4014, y: 457.0381, conf: 0.6082","x: 171.7725, y: 476.8954, conf: 0.6948","x: 291.4025, y: 480.0000, conf: 0.0057","x: 172.3924, y: 480.0000, conf: 0.0074","x: 280.1728, y: 480.0000, conf: 0.0003","x: 161.7721, y: 480.0000, conf: 0.0003"
28,"x: 222.5335, y: 60.9648, conf: 0.9914","x: 221.1520, y: 46.2487, conf: 0.6734","x: 202.4620, y: 44.9654, conf: 0.9935","x: 204.9060, y: 58.7334, conf: 0.0074","x: 151.7515, y: 60.0633, conf: 0.9885","x: 216.9645, y: 165.3355, conf: 0.9729","x: 109.6222, y: 184.2928, conf: 0.9885","x: 238.0325, y: 304.6530, conf: 0.8652","x: 125.4295, y: 360.2243, conf: 0.9603","x: 278.7333, y: 407.1101, conf: 0.7590","x: 231.6768, y: 444.3933, conf: 0.9208","x: 247.6049, y: 459.3257, conf: 0.6010","x: 169.4093, y: 478.2192, conf: 0.6802","x: 289.0384, y: 479.6616, conf: 0.0061","x: 175.6080, y: 480.0000, conf: 0.0077","x: 276.2523, y: 480.0000, conf: 0.0003","x: 162.3344, y: 480.0000, conf: 0.0003"
28,"x: 222.5335, y: 60.9648, conf: 0.9914","x: 221.1520, y: 46.2487, conf: 0.6734","x: 202.4620, y: 44.9654, conf: 0.9935","x: 204.9060, y: 58.7334, conf: 0.0074","x: 151.7515, y: 60.0633, conf: 0.9885","x: 216.9645, y: 165.3355, conf: 0.9729","x: 109.6222, y: 184.2928, conf: 0.9885","x: 238.0325, y: 304.6530, conf: 0.8652","x: 125.4295, y: 360.2243, conf: 0.9603","x: 278.7333, y: 407.1101, conf: 0.7590","x: 231.6768, y: 444.3933, conf: 0.9208","x: 247.6049, y: 459.3257, conf: 0.6010","x: 169.4093, y: 478.2192, conf: 0.6802","x: 289.0384, y: 479.6616, conf: 0.0061","x: 175.6080, y: 480.0000, conf: 0.0077","x: 276.2523, y: 480.0000, conf: 0.0003","x: 162.3344, y: 480.0000, conf: 0.0003"
30,"x: 222.7580, y: 62.2677, conf: 0.9867","x: 221.1729, y: 47.6767, conf: 0.5583","x: 204.0362, y: 45.8534, conf: 0.9899","x: 203.4780, y: 59.6433, conf: 0.0055","x: 153.5015, y: 59.2831, conf: 0.9869","x: 217.2277, y: 165.6411, conf: 0.9709","x: 107.1676, y: 184.8890, conf: 0.9860","x: 237.1931, y: 304.4034, conf: 0.8674","x: 124.2434, y: 362.7079, conf: 0.9532","x: 281.5993, y: 411.6636, conf: 0.7412","x: 225.1147, y: 454.4652, conf: 0.9009","x: 249.5134, y: 457.7323, conf: 0.6045","x: 169.0185, y: 476.9827, conf: 0.6675","x: 291.0085, y: 480.0000, conf: 0.0059","x: 170.4844, y: 480.0000, conf: 0.0069","x: 279.1024, y: 480.0000, conf: 0.0003","x: 161.6275, y: 480.0000, conf: 0.0003"
30,"x: 222.7580, y: 62.2677, conf: 0.9867","x: 221.1729, y: 47.6767, conf: 0.5583","x: 204.0362, y: 45.8534, conf: 0.9899","x: 203.4780, y: 59.6433, conf: 0.0055","x: 153.5015, y: 59.2831, conf: 0.9869","x: 217.2277, y: 165.6411, conf: 0.9709","x: 107.1676, y: 184.8890, conf: 0.9860","x: 237.1931, y: 304.4034, conf: 0.8674","x: 124.2434, y: 362.7079, conf: 0.9532","x: 281.5993, y: 411.6636, conf: 0.7412","x: 225.1147, y: 454.4652, conf: 0.9009","x: 249.5134, y: 457.7323, conf: 0.6045","x: 169.0185, y: 476.9827, conf: 0.6675","x: 291.0085, y: 480.0000, conf: 0.0059","x: 170.4844, y: 480.0000, conf: 0.0069","x: 279.1024, y: 480.0000, conf: 0.0003","x: 161.6275, y: 480.0000, conf: 0.0003"
