frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
1038,"x: 395.9192, y: 255.7785, conf: 0.9941","x: 400.0630, y: 250.3972, conf: 0.9442","x: 389.9137, y: 248.9830, conf: 0.9904","x: 402.2011, y: 255.7157, conf: 0.3820","x: 375.4678, y: 252.0535, conf: 0.9476","x: 404.5901, y: 295.5151, conf: 0.9884","x: 356.7170, y: 288.0472, conf: 0.9968","x: 409.4237, y: 346.4666, conf: 0.9223","x: 335.7915, y: 331.2399, conf: 0.9852","x: 424.4440, y: 390.5385, conf: 0.9002","x: 360.4245, y: 347.5187, conf: 0.9735","x: 397.1108, y: 388.9457, conf: 0.9729","x: 364.1780, y: 387.4366, conf: 0.9849","x: 400.3859, y: 456.7651, conf: 0.6338","x: 364.0103, y: 457.5298, conf: 0.7472","x: 397.9527, y: 480.0000, conf: 0.1329","x: 355.4839, y: 480.0000, conf: 0.1674"
1039,"x: 395.8994, y: 255.7554, conf: 0.9940","x: 400.0162, y: 250.3525, conf: 0.9442","x: 389.8773, y: 248.9641, conf: 0.9903","x: 402.1316, y: 255.6679, conf: 0.3798","x: 375.3846, y: 252.0515, conf: 0.9473","x: 404.5671, y: 295.5461, conf: 0.9882","x: 356.7228, y: 287.9791, conf: 0.9967","x: 409.5175, y: 346.7327, conf: 0.9217","x: 335.7470, y: 331.1829, conf: 0.9850","x: 424.4199, y: 390.6732, conf: 0.8990","x: 360.1965, y: 347.4083, conf: 0.9730","x: 397.3994, y: 389.5991, conf: 0.9718","x: 364.2524, y: 388.0538, conf: 0.9843","x: 401.2717, y: 457.6647, conf: 0.6160","x: 363.3833, y: 458.3445, conf: 0.7317","x: 400.0111, y: 480.0000, conf: 0.1235","x: 354.6444, y: 480.0000, conf: 0.1555"
1040,"x: 395.3602, y: 256.3089, conf: 0.9937","x: 399.3061, y: 251.0414, conf: 0.9398","x: 389.2996, y: 249.9280, conf: 0.9898","x: 401.2729, y: 256.2419, conf: 0.3945","x: 375.2888, y: 253.3868, conf: 0.9494","x: 404.2844, y: 295.3702, conf: 0.9894","x: 357.3072, y: 288.4644, conf: 0.9973","x: 410.2598, y: 345.3309, conf: 0.9225","x: 336.5311, y: 330.0891, conf: 0.9867","x: 422.7063, y: 389.1397, conf: 0.9049","x: 361.1357, y: 346.2804, conf: 0.9760","x: 394.4077, y: 384.9412, conf: 0.9778","x: 363.8612, y: 383.3104, conf: 0.9883","x: 391.5069, y: 450.7751, conf: 0.7254","x: 367.3994, y: 451.3953, conf: 0.8259","x: 383.5688, y: 480.0000, conf: 0.1977","x: 361.6333, y: 480.0000, conf: 0.2516"
1041,"x: 395.3813, y: 256.3338, conf: 0.9937","x: 399.3997, y: 250.9890, conf: 0.9409","x: 389.2245, y: 249.9086, conf: 0.9898","x: 401.4742, y: 256.0968, conf: 0.3978","x: 375.1964, y: 253.3255, conf: 0.9483","x: 404.0427, y: 295.2597, conf: 0.9891","x: 357.7564, y: 288.2893, conf: 0.9972","x: 410.0372, y: 345.4033, conf: 0.9212","x: 336.3904, y: 329.9731, conf: 0.9865","x: 422.5969, y: 389.1825, conf: 0.9044","x: 361.0593, y: 346.0652, conf: 0.9759","x: 394.1481, y: 385.0795, conf: 0.9769","x: 364.2156, y: 383.4116, conf: 0.9878","x: 390.5336, y: 451.0916, conf: 0.7178","x: 368.1473, y: 451.6062, conf: 0.8207","x: 382.7476, y: 480.0000, conf: 0.1922","x: 362.3588, y: 480.0000, conf: 0.2456"
1042,"x: 393.2186, y: 256.7140, conf: 0.9940","x: 397.3378, y: 251.1624, conf: 0.9467","x: 387.2358, y: 250.2701, conf: 0.9897","x: 400.2715, y: 255.6769, conf: 0.4321","x: 373.8296, y: 253.2470, conf: 0.9426","x: 403.8780, y: 294.3071, conf: 0.9900","x: 356.5312, y: 288.2701, conf: 0.9974","x: 409.2579, y: 344.1186, conf: 0.9307","x: 337.1521, y: 329.2750, conf: 0.9878","x: 421.4854, y: 387.2689, conf: 0.9144","x: 358.3679, y: 343.0068, conf: 0.9779","x: 395.3027, y: 383.0496, conf: 0.9824","x: 363.1457, y: 381.8557, conf: 0.9906","x: 398.6439, y: 447.4344, conf: 0.7844","x: 363.9953, y: 448.8123, conf: 0.8662","x: 394.6553, y: 480.0000, conf: 0.2601","x: 356.3456, y: 480.0000, conf: 0.3252"
1043,"x: 393.1927, y: 256.7013, conf: 0.9940","x: 397.3177, y: 251.1653, conf: 0.9469","x: 387.2135, y: 250.2546, conf: 0.9898","x: 400.2576, y: 255.7228, conf: 0.4316","x: 373.8325, y: 253.2452, conf: 0.9428","x: 403.8038, y: 294.3339, conf: 0.9901","x: 356.6673, y: 288.1798, conf: 0.9975","x: 409.3485, y: 344.1899, conf: 0.9309","x: 337.1957, y: 329.2175, conf: 0.9879","x: 421.3920, y: 387.1669, conf: 0.9151","x: 358.5886, y: 343.0481, conf: 0.9782","x: 395.1724, y: 382.8432, conf: 0.9825","x: 363.2263, y: 381.5891, conf: 0.9907","x: 398.4194, y: 447.1649, conf: 0.7875","x: 364.4502, y: 448.3967, conf: 0.8687","x: 394.2353, y: 480.0000, conf: 0.2638","x: 356.6463, y: 480.0000, conf: 0.3299"
1044,"x: 390.8660, y: 258.9867, conf: 0.9938","x: 394.8933, y: 253.6406, conf: 0.9476","x: 385.2463, y: 252.8242, conf: 0.9890","x: 398.1254, y: 258.1736, conf: 0.4696","x: 372.8589, y: 256.0028, conf: 0.9396","x: 402.7266, y: 295.4948, conf: 0.9908","x: 355.0888, y: 290.5725, conf: 0.9977","x: 407.8219, y: 343.8330, conf: 0.9360","x: 336.5055, y: 331.2740, conf: 0.9887","x: 419.3908, y: 387.3775, conf: 0.9194","x: 357.7769, y: 344.7704, conf: 0.9789","x: 393.7764, y: 380.6905, conf: 0.9852","x: 361.2567, y: 379.8742, conf: 0.9921","x: 398.2375, y: 444.5463, conf: 0.8217","x: 361.2133, y: 446.5482, conf: 0.8915","x: 394.2742, y: 480.0000, conf: 0.3108","x: 353.7830, y: 480.0000, conf: 0.3843"
1045,"x: 388.5552, y: 260.9303, conf: 0.9934","x: 392.2667, y: 255.3356, conf: 0.9419","x: 382.6912, y: 255.0344, conf: 0.9889","x: 395.2004, y: 259.1444, conf: 0.4401","x: 370.0680, y: 258.1320, conf: 0.9433","x: 400.3777, y: 294.8867, conf: 0.9902","x: 353.4927, y: 292.0506, conf: 0.9977","x: 407.1022, y: 341.9745, conf: 0.9314","x: 335.8359, y: 333.7377, conf: 0.9891","x: 416.4586, y: 383.9151, conf: 0.9160","x: 358.2668, y: 347.8944, conf: 0.9795","x: 393.2214, y: 380.6584, conf: 0.9847","x: 361.4423, y: 380.6420, conf: 0.9922","x: 395.5205, y: 446.0932, conf: 0.8121","x: 361.1185, y: 448.8294, conf: 0.8895","x: 392.2140, y: 480.0000, conf: 0.2938","x: 354.3520, y: 480.0000, conf: 0.3711"
1046,"x: 388.5365, y: 260.9061, conf: 0.9935","x: 392.2576, y: 255.3343, conf: 0.9423","x: 382.6881, y: 255.0197, conf: 0.9890","x: 395.2066, y: 259.1863, conf: 0.4421","x: 370.0953, y: 258.1414, conf: 0.9434","x: 400.4033, y: 294.9385, conf: 0.9903","x: 353.4818, y: 292.0315, conf: 0.9977","x: 407.1018, y: 342.0309, conf: 0.9317","x: 335.8971, y: 333.6544, conf: 0.9891","x: 416.4870, y: 383.9222, conf: 0.9162","x: 358.2618, y: 347.8474, conf: 0.9795","x: 393.1573, y: 380.5973, conf: 0.9848","x: 361.3563, y: 380.5480, conf: 0.9922","x: 395.5396, y: 446.0788, conf: 0.8131","x: 361.1018, y: 448.7735, conf: 0.8900","x: 392.2022, y: 480.0000, conf: 0.2950","x: 354.3915, y: 480.0000, conf: 0.3723"
1047,"x: 385.0773, y: 262.4093, conf: 0.9917","x: 389.0957, y: 256.5949, conf: 0.9417","x: 379.2021, y: 256.7454, conf: 0.9857","x: 392.9525, y: 259.7216, conf: 0.4773","x: 367.4343, y: 259.3896, conf: 0.9220","x: 396.9732, y: 295.4352, conf: 0.9862","x: 352.5794, y: 293.6290, conf: 0.9964","x: 403.0849, y: 343.6594, conf: 0.9195","x: 337.5744, y: 332.9413, conf: 0.9847","x: 414.2568, y: 384.9874, conf: 0.9143","x: 357.1129, y: 348.9779, conf: 0.9742","x: 392.3102, y: 381.6556, conf: 0.9735","x: 362.3164, y: 382.6893, conf: 0.9858","x: 391.8569, y: 445.8777, conf: 0.8073","x: 359.8921, y: 450.3621, conf: 0.8823","x: 389.2672, y: 480.0000, conf: 0.3177","x: 354.5423, y: 480.0000, conf: 0.3958"
1048,"x: 386.1581, y: 262.5271, conf: 0.9919","x: 389.9095, y: 256.7334, conf: 0.9364","x: 380.2415, y: 256.9147, conf: 0.9868","x: 392.8430, y: 259.9485, conf: 0.4246","x: 367.5440, y: 259.5880, conf: 0.9318","x: 396.3718, y: 295.5772, conf: 0.9867","x: 352.2943, y: 293.7465, conf: 0.9965","x: 403.2407, y: 343.5932, conf: 0.9210","x: 337.6433, y: 332.9322, conf: 0.9853","x: 414.5242, y: 385.0882, conf: 0.9157","x: 357.1514, y: 348.8513, conf: 0.9752","x: 392.3623, y: 381.3568, conf: 0.9749","x: 362.5243, y: 382.4655, conf: 0.9865","x: 392.1516, y: 445.3408, conf: 0.8180","x: 360.1649, y: 449.9140, conf: 0.8889","x: 389.7806, y: 480.0000, conf: 0.3307","x: 354.4382, y: 480.0000, conf: 0.4064"
